ID,Name,Email,Password,roles_code
25234874-aea6-4991-bb29-046633b2abb6,Name-2523487,Email-2523487,Password-2523487,USER
2523488d-adef-4724-908d-ee5d1eb3a001,Name-2523488,Email-2523488,Password-2523488,USER
2523489c-7411-4d46-8ccc-4c1e84996d6d,Name-2523489,Email-2523489,Password-2523489,POINTOFCONTACT
2523490a-349d-4815-a9fc-28293f0be655,Name-2523490,Email-2523490,Password-2523490,POINTOFCONTACT
2523491d-d960-4362-9b4a-55d69c78e330,Name-2523491,Email-2523491,Password-2523491,POINTOFCONTACT
25234929-b97c-4e74-b2fb-079615b7dbe7,Name-2523492,Email-2523492,Password-2523492,POINTOFCONTACT
2523493a-9b5a-482d-ac8e-6fb3c0f23153,Name-2523493,Email-2523493,Password-2523493,POINTOFCONTACT
25234949-4e50-4444-a515-0989bbf0054d,Name-2523494,Email-2523494,Password-2523494,POINTOFCONTACT
25234954-b123-4ccc-82c7-c4b412e6c7f9,Name-2523495,Email-2523495,Password-2523495,POINTOFCONTACT
25234963-6971-43e2-95b1-ea43af0b7af2,Name-2523496,Email-2523496,Password-2523496,POINTOFCONTACT
